year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,PLF,Actes,Actes opératoires,actes,2396.25,2300.4
2011,2,PLF,Actes,Actes opératoires,actes,2156.62,1917.0
2011,3,PLF,Actes,Actes opératoires,actes,1917.0,5367.6
2011,4,PLF,Actes,Actes opératoires,actes,1797.19,7284.6
2011,5,PLF,Actes,Actes opératoires,actes,1677.38,3450.6
2011,6,PLF,Actes,Actes opératoires,actes,1677.38,1533.6
2011,7,PLF,Actes,Actes opératoires,actes,2036.81,1150.2
2011,8,PLF,Actes,Actes opératoires,actes,1917.0,1150.2
2011,9,PLF,Actes,Actes opératoires,actes,1797.19,2300.4
2011,10,PLF,Actes,Actes opératoires,actes,1797.19,4217.4
2011,11,PLF,Actes,Actes opératoires,actes,1917.0,4600.8
2011,12,PLF,Actes,Actes opératoires,actes,2875.5,3067.2
2011,1,CFX,Actes,Actes opératoires,actes,2396.25,2300.4
2011,2,CFX,Actes,Actes opératoires,actes,2156.62,1917.0
2011,3,CFX,Actes,Actes opératoires,actes,1917.0,5367.6
2011,4,CFX,Actes,Actes opératoires,actes,1797.19,7284.6
2011,5,CFX,Actes,Actes opératoires,actes,1677.38,3450.6
2011,6,CFX,Actes,Actes opératoires,actes,1677.38,1533.6
2011,7,CFX,Actes,Actes opératoires,actes,2036.81,1150.2
2011,8,CFX,Actes,Actes opératoires,actes,1917.0,1150.2
2011,9,CFX,Actes,Actes opératoires,actes,1797.19,2300.4
2011,10,CFX,Actes,Actes opératoires,actes,1797.19,4217.4
2011,11,CFX,Actes,Actes opératoires,actes,1917.0,4600.8
2011,12,CFX,Actes,Actes opératoires,actes,2875.5,3067.2
2012,1,PLF,Actes,Actes opératoires,actes,2396.25,2300.4
2012,2,PLF,Actes,Actes opératoires,actes,2156.62,1917.0
2012,3,PLF,Actes,Actes opératoires,actes,1917.0,5367.6
2012,4,PLF,Actes,Actes opératoires,actes,1797.19,7284.6
2012,5,PLF,Actes,Actes opératoires,actes,1677.38,3450.6
2012,6,PLF,Actes,Actes opératoires,actes,1677.38,1533.6
2012,7,PLF,Actes,Actes opératoires,actes,2036.81,1150.2
2012,8,PLF,Actes,Actes opératoires,actes,1917.0,1150.2
2012,9,PLF,Actes,Actes opératoires,actes,1797.19,2300.4
2012,10,PLF,Actes,Actes opératoires,actes,1797.19,4217.4
2012,11,PLF,Actes,Actes opératoires,actes,1917.0,4600.8
2012,12,PLF,Actes,Actes opératoires,actes,2875.5,3067.2
2012,1,CFX,Actes,Actes opératoires,actes,2396.25,2300.4
2012,2,CFX,Actes,Actes opératoires,actes,2156.62,1917.0
2012,3,CFX,Actes,Actes opératoires,actes,1917.0,5367.6
2012,4,CFX,Actes,Actes opératoires,actes,1797.19,7284.6
2012,5,CFX,Actes,Actes opératoires,actes,1677.38,3450.6
2012,6,CFX,Actes,Actes opératoires,actes,1677.38,1533.6
2012,7,CFX,Actes,Actes opératoires,actes,2036.81,1150.2
2012,8,CFX,Actes,Actes opératoires,actes,1917.0,1150.2
2012,9,CFX,Actes,Actes opératoires,actes,1797.19,2300.4
2012,10,CFX,Actes,Actes opératoires,actes,1797.19,4217.4
2012,11,CFX,Actes,Actes opératoires,actes,1917.0,4600.8
2012,12,CFX,Actes,Actes opératoires,actes,2875.5,3067.2
2013,1,PLF,Actes,Actes opératoires,actes,2396.25,2300.4
2013,2,PLF,Actes,Actes opératoires,actes,2156.62,1917.0
2013,3,PLF,Actes,Actes opératoires,actes,1917.0,5367.6
2013,4,PLF,Actes,Actes opératoires,actes,1797.19,7284.6
2013,5,PLF,Actes,Actes opératoires,actes,1677.38,3450.6
2013,6,PLF,Actes,Actes opératoires,actes,1677.38,1533.6
2013,7,PLF,Actes,Actes opératoires,actes,2036.81,1150.2
2013,8,PLF,Actes,Actes opératoires,actes,1917.0,1150.2
2013,9,PLF,Actes,Actes opératoires,actes,1797.19,2300.4
2013,10,PLF,Actes,Actes opératoires,actes,1797.19,4217.4
2013,11,PLF,Actes,Actes opératoires,actes,1917.0,4600.8
2013,12,PLF,Actes,Actes opératoires,actes,2875.5,3067.2
2013,1,CFX,Actes,Actes opératoires,actes,2396.25,2300.4
2013,2,CFX,Actes,Actes opératoires,actes,2156.62,1917.0
2013,3,CFX,Actes,Actes opératoires,actes,1917.0,5367.6
2013,4,CFX,Actes,Actes opératoires,actes,1797.19,7284.6
2013,5,CFX,Actes,Actes opératoires,actes,1677.38,3450.6
2013,6,CFX,Actes,Actes opératoires,actes,1677.38,1533.6
2013,7,CFX,Actes,Actes opératoires,actes,2036.81,1150.2
2013,8,CFX,Actes,Actes opératoires,actes,1917.0,1150.2
2013,9,CFX,Actes,Actes opératoires,actes,1797.19,2300.4
2013,10,CFX,Actes,Actes opératoires,actes,1797.19,4217.4
2013,11,CFX,Actes,Actes opératoires,actes,1917.0,4600.8
2013,12,CFX,Actes,Actes opératoires,actes,2875.5,3067.2
2014,1,PLF,Actes,Actes opératoires,actes,2396.25,2300.4
2014,2,PLF,Actes,Actes opératoires,actes,2156.62,1917.0
2014,3,PLF,Actes,Actes opératoires,actes,1917.0,5367.6
2014,4,PLF,Actes,Actes opératoires,actes,1797.19,7284.6
2014,5,PLF,Actes,Actes opératoires,actes,1677.38,3450.6
2014,6,PLF,Actes,Actes opératoires,actes,1677.38,1533.6
2014,7,PLF,Actes,Actes opératoires,actes,2036.81,1150.2
2014,8,PLF,Actes,Actes opératoires,actes,1917.0,1150.2
2014,9,PLF,Actes,Actes opératoires,actes,1797.19,2300.4
2014,10,PLF,Actes,Actes opératoires,actes,1797.19,4217.4
