ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE,COEF_CRISE,HYPOTHESE_CRISE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE
2011,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2012,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2013,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2014,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2015,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2016,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2017,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,38340.0,38340.0,76680.0
2011,Consultations,Consultations externes,657047.0,3911.0,660958.0,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1051275.2,6257.6,1057532.8
2012,Consultations,Consultations externes,657047.0,3911.0,660958.0,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1051275.2,6257.6,1057532.8
2013,Consultations,Consultations externes,637251.33,6037.33,643288.67,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1019602.13,9659.73,1029261.87
2014,Consultations,Consultations externes,617455.67,8163.67,625619.33,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,987929.07,13061.87,1000990.93
2015,Consultations,Consultations externes,597660.0,10290.0,607950.0,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,956256.0,16464.0,972720.0
2016,Consultations,Consultations externes,637239.71,7362.29,644602.0,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1019583.54,11779.66,1031363.2
2017,Consultations,Consultations externes,637239.71,7362.29,644602.0,consultations,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1019583.54,11779.66,1031363.2
2011,Greffes,Transplantations,157.0,157.0,314.0,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,251.2,251.2,502.4
2012,Greffes,Transplantations,157.0,157.0,314.0,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,251.2,251.2,502.4
2013,Greffes,Transplantations,167.67,167.67,335.33,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,268.27,268.27,536.53
2014,Greffes,Transplantations,178.33,178.33,356.67,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,285.33,285.33,570.67
2015,Greffes,Transplantations,189.0,189.0,378.0,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,302.4,302.4,604.8
2016,Greffes,Transplantations,197.0,197.0,394.0,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,315.2,315.2,630.4
2017,Greffes,Transplantations,197.0,197.0,394.0,greffes,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,315.2,315.2,630.4
2011,Naissances,Accouchements,1139.5,1139.5,2279.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1823.2,1823.2,3646.4
2012,Naissances,Accouchements,1139.5,1139.5,2279.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1823.2,1823.2,3646.4
2013,Naissances,Accouchements,1139.5,1139.5,2279.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1823.2,1823.2,3646.4
2014,Naissances,Accouchements,1139.5,1139.5,2279.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1823.2,1823.2,3646.4
2015,Naissances,Accouchements,1139.5,1139.5,2279.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1823.2,1823.2,3646.4
2016,Naissances,Accouchements,1093.0,1093.0,2186.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1748.8,1748.8,3497.6
2017,Naissances,Accouchements,1093.0,1093.0,2186.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1748.8,1748.8,3497.6
2011,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
2012,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
2013,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
2014,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
2015,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
2016,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
