ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Lits,Lits totaux (toutes disciplines),1647.0,485.0,2132.0,lits
2012,Lits,Lits totaux (toutes disciplines),1647.0,485.0,2132.0,lits
2013,Lits,Lits totaux (toutes disciplines),1678.67,481.33,2160.0,lits
2014,Lits,Lits totaux (toutes disciplines),1710.33,477.67,2188.0,lits
2015,Lits,Lits totaux (toutes disciplines),1742.0,474.0,2216.0,lits
2016,Lits,Lits totaux (toutes disciplines),1737.08,491.92,2229.0,lits
2017,Lits,Lits totaux (toutes disciplines),1737.08,491.92,2229.0,lits
2011,Lits,MCO,755.0,755.0,1510.0,lits
2012,Lits,MCO,755.0,755.0,1510.0,lits
2013,Lits,MCO,773.0,773.0,1546.0,lits
2014,Lits,MCO,791.0,791.0,1582.0,lits
2015,Lits,MCO,809.0,809.0,1618.0,lits
2016,Lits,MCO,809.0,809.0,1618.0,lits
2017,Lits,MCO,809.0,809.0,1618.0,lits
2011,Lits,Psychiatrie,70.0,70.0,140.0,lits
2012,Lits,Psychiatrie,70.0,70.0,140.0,lits
2013,Lits,Psychiatrie,69.0,69.0,138.0,lits
2014,Lits,Psychiatrie,68.0,68.0,136.0,lits
2015,Lits,Psychiatrie,67.0,67.0,134.0,lits
2016,Lits,Psychiatrie,67.0,67.0,134.0,lits
2017,Lits,Psychiatrie,67.0,67.0,134.0,lits
2011,Lits,SLD,124.0,124.0,248.0,lits
2012,Lits,SLD,124.0,124.0,248.0,lits
2013,Lits,SLD,114.17,114.17,228.33,lits
2014,Lits,SLD,104.33,104.33,208.67,lits
2015,Lits,SLD,94.5,94.5,189.0,lits
2016,Lits,SLD,94.5,94.5,189.0,lits
2017,Lits,SLD,94.5,94.5,189.0,lits
2011,Lits,SSR,104.5,104.5,209.0,lits
2012,Lits,SSR,104.5,104.5,209.0,lits
2013,Lits,SSR,115.5,115.5,231.0,lits
2014,Lits,SSR,126.5,126.5,253.0,lits
2015,Lits,SSR,137.5,137.5,275.0,lits
2016,Lits,SSR,137.5,137.5,275.0,lits
2017,Lits,SSR,137.5,137.5,275.0,lits
