year,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,PLF,Budget,Dépenses d'exploitation,M€,698.81,908.45
2011,CFX,Budget,Dépenses d'exploitation,M€,67.27,87.45
2012,PLF,Budget,Dépenses d'exploitation,M€,698.81,908.45
2012,CFX,Budget,Dépenses d'exploitation,M€,67.27,87.45
2013,PLF,Budget,Dépenses d'exploitation,M€,734.92,955.4
2013,CFX,Budget,Dépenses d'exploitation,M€,67.7,88.01
2014,PLF,Budget,Dépenses d'exploitation,M€,771.02,1002.33
2014,CFX,Budget,Dépenses d'exploitation,M€,68.13,88.57
2015,PLF,Budget,Dépenses d'exploitation,M€,807.13,1049.27
2015,CFX,Budget,Dépenses d'exploitation,M€,68.56,89.13
2016,PLF,Budget,Dépenses d'exploitation,M€,813.61,1057.69
2016,CFX,Budget,Dépenses d'exploitation,M€,73.69,95.8
2017,PLF,Budget,Dépenses d'exploitation,M€,813.61,1057.69
2017,CFX,Budget,Dépenses d'exploitation,M€,73.69,95.8
2011,PLF,Budget,Recettes,M€,711.52,924.98
2011,CFX,Budget,Recettes,M€,55.66,72.36
2012,PLF,Budget,Recettes,M€,711.52,924.98
2012,CFX,Budget,Recettes,M€,55.66,72.36
2013,PLF,Budget,Recettes,M€,754.23,980.5
2013,CFX,Budget,Recettes,M€,56.74,73.76
2014,PLF,Budget,Recettes,M€,796.95,1036.04
2014,CFX,Budget,Recettes,M€,57.83,75.18
2015,PLF,Budget,Recettes,M€,839.66,1091.56
2015,CFX,Budget,Recettes,M€,58.91,76.58
2016,PLF,Budget,Recettes,M€,839.66,1091.56
2016,CFX,Budget,Recettes,M€,58.91,76.58
2017,PLF,Budget,Recettes,M€,839.66,1091.56
2017,CFX,Budget,Recettes,M€,58.91,76.58
