ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Budget,Dépenses d'exploitation,698.81,67.27,766.08,M€
2012,Budget,Dépenses d'exploitation,698.81,67.27,766.08,M€
2013,Budget,Dépenses d'exploitation,734.92,67.7,802.62,M€
2014,Budget,Dépenses d'exploitation,771.02,68.13,839.15,M€
2015,Budget,Dépenses d'exploitation,807.13,68.56,875.69,M€
2016,Budget,Dépenses d'exploitation,813.61,73.69,887.3,M€
2017,Budget,Dépenses d'exploitation,813.61,73.69,887.3,M€
2011,Budget,Recettes,711.52,55.66,767.18,M€
2012,Budget,Recettes,711.52,55.66,767.18,M€
2013,Budget,Recettes,754.23,56.74,810.98,M€
2014,Budget,Recettes,796.95,57.83,854.77,M€
2015,Budget,Recettes,839.66,58.91,898.57,M€
2016,Budget,Recettes,839.66,58.91,898.57,M€
2017,Budget,Recettes,839.66,58.91,898.57,M€
