year,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,PLF,Effectifs,Médecins (ETP),ETP,1160.0,1276.0
2011,CFX,Effectifs,Médecins (ETP),ETP,93.0,102.3
2012,PLF,Effectifs,Médecins (ETP),ETP,1160.0,1276.0
2012,CFX,Effectifs,Médecins (ETP),ETP,93.0,102.3
2013,PLF,Effectifs,Médecins (ETP),ETP,1275.33,1402.86
2013,CFX,Effectifs,Médecins (ETP),ETP,100.33,110.36
2014,PLF,Effectifs,Médecins (ETP),ETP,1390.67,1529.74
2014,CFX,Effectifs,Médecins (ETP),ETP,107.67,118.44
2015,PLF,Effectifs,Médecins (ETP),ETP,1506.0,1656.6
2015,CFX,Effectifs,Médecins (ETP),ETP,115.0,126.5
2016,PLF,Effectifs,Médecins (ETP),ETP,878.26,966.09
2016,CFX,Effectifs,Médecins (ETP),ETP,68.74,75.61
2017,PLF,Effectifs,Médecins (ETP),ETP,878.26,966.09
2017,CFX,Effectifs,Médecins (ETP),ETP,68.74,75.61
2011,PLF,Effectifs,Médecins (effectif physique),personnes,1846.0,2030.6
2011,CFX,Effectifs,Médecins (effectif physique),personnes,138.0,151.8
2012,PLF,Effectifs,Médecins (effectif physique),personnes,1846.0,2030.6
2012,CFX,Effectifs,Médecins (effectif physique),personnes,138.0,151.8
2013,PLF,Effectifs,Médecins (effectif physique),personnes,1870.89,2057.98
2013,CFX,Effectifs,Médecins (effectif physique),personnes,139.86,153.85
2014,PLF,Effectifs,Médecins (effectif physique),personnes,1895.78,2085.36
2014,CFX,Effectifs,Médecins (effectif physique),personnes,141.72,155.89
2015,PLF,Effectifs,Médecins (effectif physique),personnes,1920.67,2112.74
2015,CFX,Effectifs,Médecins (effectif physique),personnes,143.58,157.94
2016,PLF,Effectifs,Médecins (effectif physique),personnes,1945.56,2140.12
2016,CFX,Effectifs,Médecins (effectif physique),personnes,145.44,159.98
2017,PLF,Effectifs,Médecins (effectif physique),personnes,1945.56,2140.12
2017,CFX,Effectifs,Médecins (effectif physique),personnes,145.44,159.98
2011,PLF,Effectifs,Personnel paramédical (ETP),ETP,6312.0,6943.2
2011,CFX,Effectifs,Personnel paramédical (ETP),ETP,770.0,847.0
2012,PLF,Effectifs,Personnel paramédical (ETP),ETP,6312.0,6943.2
2012,CFX,Effectifs,Personnel paramédical (ETP),ETP,770.0,847.0
2013,PLF,Effectifs,Personnel paramédical (ETP),ETP,6507.0,7157.7
2013,CFX,Effectifs,Personnel paramédical (ETP),ETP,831.0,914.1
2014,PLF,Effectifs,Personnel paramédical (ETP),ETP,6702.0,7372.2
2014,CFX,Effectifs,Personnel paramédical (ETP),ETP,892.0,981.2
2015,PLF,Effectifs,Personnel paramédical (ETP),ETP,6897.0,7586.7
2015,CFX,Effectifs,Personnel paramédical (ETP),ETP,953.0,1048.3
2016,PLF,Effectifs,Personnel paramédical (ETP),ETP,6972.41,7669.65
2016,CFX,Effectifs,Personnel paramédical (ETP),ETP,906.59,997.25
2017,PLF,Effectifs,Personnel paramédical (ETP),ETP,6972.41,7669.65
2017,CFX,Effectifs,Personnel paramédical (ETP),ETP,906.59,997.25
