year,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2776.78,3470.98
2011,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,672.0,840.0
2012,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2776.78,3470.98
2012,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,672.0,840.0
2013,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2827.85,3534.81
2013,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,678.0,847.5
2014,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2878.93,3598.66
2014,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,684.0,855.0
2015,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2930.0,3662.5
2015,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,690.0,862.5
2016,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2930.0,3662.5
2016,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,690.0,862.5
2017,PLF,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,2930.0,3662.5
2017,CFX,Déchets,DAOM / DMA (déchets ménagers assimilés),tonnes,690.0,862.5
2011,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1086.19,1357.74
2011,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,48.0,60.0
2012,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1086.19,1357.74
2012,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,48.0,60.0
2013,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1080.79,1350.99
2013,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,49.67,62.09
2014,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1075.4,1344.25
2014,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,51.33,64.16
2015,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1070.0,1337.5
2015,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,53.0,66.25
2016,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1070.0,1337.5
2016,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,53.0,66.25
2017,PLF,Déchets,DASRIA (déchets à risque infectieux),tonnes,1070.0,1337.5
2017,CFX,Déchets,DASRIA (déchets à risque infectieux),tonnes,53.0,66.25
2011,PLF,Restauration,Nombre de repas,repas,3238399.0,4047998.75
2011,CFX,Restauration,Nombre de repas,repas,1273338.0,1591672.5
2012,PLF,Restauration,Nombre de repas,repas,3238399.0,4047998.75
2012,CFX,Restauration,Nombre de repas,repas,1273338.0,1591672.5
2013,PLF,Restauration,Nombre de repas,repas,2825415.0,3531768.75
2013,CFX,Restauration,Nombre de repas,repas,1256200.0,1570250.0
2014,PLF,Restauration,Nombre de repas,repas,2412431.0,3015538.75
2014,CFX,Restauration,Nombre de repas,repas,1239062.0,1548827.5
2015,PLF,Restauration,Nombre de repas,repas,1999447.0,2499308.75
2015,CFX,Restauration,Nombre de repas,repas,1221924.0,1527405.0
2016,PLF,Restauration,Nombre de repas,repas,1999447.0,2499308.75
2016,CFX,Restauration,Nombre de repas,repas,1221924.0,1527405.0
2017,PLF,Restauration,Nombre de repas,repas,1999447.0,2499308.75
2017,CFX,Restauration,Nombre de repas,repas,1221924.0,1527405.0
