ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Déchets,DAOM / DMA (déchets ménagers assimilés),2776.78,672.0,3448.78,tonnes
2012,Déchets,DAOM / DMA (déchets ménagers assimilés),2776.78,672.0,3448.78,tonnes
2013,Déchets,DAOM / DMA (déchets ménagers assimilés),2827.85,678.0,3505.85,tonnes
2014,Déchets,DAOM / DMA (déchets ménagers assimilés),2878.93,684.0,3562.93,tonnes
2015,Déchets,DAOM / DMA (déchets ménagers assimilés),2930.0,690.0,3620.0,tonnes
2016,Déchets,DAOM / DMA (déchets ménagers assimilés),2930.0,690.0,3620.0,tonnes
2017,Déchets,DAOM / DMA (déchets ménagers assimilés),2930.0,690.0,3620.0,tonnes
2011,Déchets,DASRIA (déchets à risque infectieux),1086.19,48.0,1134.19,tonnes
2012,Déchets,DASRIA (déchets à risque infectieux),1086.19,48.0,1134.19,tonnes
2013,Déchets,DASRIA (déchets à risque infectieux),1080.79,49.67,1130.46,tonnes
2014,Déchets,DASRIA (déchets à risque infectieux),1075.4,51.33,1126.73,tonnes
2015,Déchets,DASRIA (déchets à risque infectieux),1070.0,53.0,1123.0,tonnes
2016,Déchets,DASRIA (déchets à risque infectieux),1070.0,53.0,1123.0,tonnes
2017,Déchets,DASRIA (déchets à risque infectieux),1070.0,53.0,1123.0,tonnes
2011,Restauration,Nombre de repas,3238399.0,1273338.0,4511737.0,repas
2012,Restauration,Nombre de repas,3238399.0,1273338.0,4511737.0,repas
2013,Restauration,Nombre de repas,2825415.0,1256200.0,4081615.0,repas
2014,Restauration,Nombre de repas,2412431.0,1239062.0,3651493.0,repas
2015,Restauration,Nombre de repas,1999447.0,1221924.0,3221371.0,repas
2016,Restauration,Nombre de repas,1999447.0,1221924.0,3221371.0,repas
2017,Restauration,Nombre de repas,1999447.0,1221924.0,3221371.0,repas
