year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,PLF,Causes d'hospitalisation,Obstétrique,séjours,227.4,245.59
2011,2,PLF,Causes d'hospitalisation,Obstétrique,séjours,204.66,204.66
2011,3,PLF,Causes d'hospitalisation,Obstétrique,séjours,181.92,573.05
2011,4,PLF,Causes d'hospitalisation,Obstétrique,séjours,170.55,777.71
2011,5,PLF,Causes d'hospitalisation,Obstétrique,séjours,159.18,368.39
2011,6,PLF,Causes d'hospitalisation,Obstétrique,séjours,159.18,163.73
2011,7,PLF,Causes d'hospitalisation,Obstétrique,séjours,193.29,122.8
2011,8,PLF,Causes d'hospitalisation,Obstétrique,séjours,181.92,122.8
2011,9,PLF,Causes d'hospitalisation,Obstétrique,séjours,170.55,245.59
2011,10,PLF,Causes d'hospitalisation,Obstétrique,séjours,170.55,450.25
2011,11,PLF,Causes d'hospitalisation,Obstétrique,séjours,181.92,491.18
2011,12,PLF,Causes d'hospitalisation,Obstétrique,séjours,272.88,327.46
2011,1,CFX,Causes d'hospitalisation,Obstétrique,séjours,227.4,245.59
2011,2,CFX,Causes d'hospitalisation,Obstétrique,séjours,204.66,204.66
2011,3,CFX,Causes d'hospitalisation,Obstétrique,séjours,181.92,573.05
2011,4,CFX,Causes d'hospitalisation,Obstétrique,séjours,170.55,777.71
2011,5,CFX,Causes d'hospitalisation,Obstétrique,séjours,159.18,368.39
2011,6,CFX,Causes d'hospitalisation,Obstétrique,séjours,159.18,163.73
2011,7,CFX,Causes d'hospitalisation,Obstétrique,séjours,193.29,122.8
2011,8,CFX,Causes d'hospitalisation,Obstétrique,séjours,181.92,122.8
2011,9,CFX,Causes d'hospitalisation,Obstétrique,séjours,170.55,245.59
2011,10,CFX,Causes d'hospitalisation,Obstétrique,séjours,170.55,450.25
2011,11,CFX,Causes d'hospitalisation,Obstétrique,séjours,181.92,491.18
2011,12,CFX,Causes d'hospitalisation,Obstétrique,séjours,272.88,327.46
2012,1,PLF,Causes d'hospitalisation,Obstétrique,séjours,227.4,245.59
2012,2,PLF,Causes d'hospitalisation,Obstétrique,séjours,204.66,204.66
2012,3,PLF,Causes d'hospitalisation,Obstétrique,séjours,181.92,573.05
2012,4,PLF,Causes d'hospitalisation,Obstétrique,séjours,170.55,777.71
2012,5,PLF,Causes d'hospitalisation,Obstétrique,séjours,159.18,368.39
2012,6,PLF,Causes d'hospitalisation,Obstétrique,séjours,159.18,163.73
2012,7,PLF,Causes d'hospitalisation,Obstétrique,séjours,193.29,122.8
2012,8,PLF,Causes d'hospitalisation,Obstétrique,séjours,181.92,122.8
2012,9,PLF,Causes d'hospitalisation,Obstétrique,séjours,170.55,245.59
2012,10,PLF,Causes d'hospitalisation,Obstétrique,séjours,170.55,450.25
2012,11,PLF,Causes d'hospitalisation,Obstétrique,séjours,181.92,491.18
2012,12,PLF,Causes d'hospitalisation,Obstétrique,séjours,272.88,327.46
2012,1,CFX,Causes d'hospitalisation,Obstétrique,séjours,227.4,245.59
2012,2,CFX,Causes d'hospitalisation,Obstétrique,séjours,204.66,204.66
2012,3,CFX,Causes d'hospitalisation,Obstétrique,séjours,181.92,573.05
2012,4,CFX,Causes d'hospitalisation,Obstétrique,séjours,170.55,777.71
2012,5,CFX,Causes d'hospitalisation,Obstétrique,séjours,159.18,368.39
2012,6,CFX,Causes d'hospitalisation,Obstétrique,séjours,159.18,163.73
2012,7,CFX,Causes d'hospitalisation,Obstétrique,séjours,193.29,122.8
2012,8,CFX,Causes d'hospitalisation,Obstétrique,séjours,181.92,122.8
2012,9,CFX,Causes d'hospitalisation,Obstétrique,séjours,170.55,245.59
2012,10,CFX,Causes d'hospitalisation,Obstétrique,séjours,170.55,450.25
2012,11,CFX,Causes d'hospitalisation,Obstétrique,séjours,181.92,491.18
2012,12,CFX,Causes d'hospitalisation,Obstétrique,séjours,272.88,327.46
2013,1,PLF,Causes d'hospitalisation,Obstétrique,séjours,224.28,242.23
2013,2,PLF,Causes d'hospitalisation,Obstétrique,séjours,201.85,201.85
2013,3,PLF,Causes d'hospitalisation,Obstétrique,séjours,179.43,565.19
2013,4,PLF,Causes d'hospitalisation,Obstétrique,séjours,168.21,767.05
2013,5,PLF,Causes d'hospitalisation,Obstétrique,séjours,157.0,363.34
2013,6,PLF,Causes d'hospitalisation,Obstétrique,séjours,157.0,161.48
2013,7,PLF,Causes d'hospitalisation,Obstétrique,séjours,190.64,121.11
2013,8,PLF,Causes d'hospitalisation,Obstétrique,séjours,179.43,121.11
2013,9,PLF,Causes d'hospitalisation,Obstétrique,séjours,168.21,242.23
2013,10,PLF,Causes d'hospitalisation,Obstétrique,séjours,168.21,444.08
2013,11,PLF,Causes d'hospitalisation,Obstétrique,séjours,179.43,484.45
2013,12,PLF,Causes d'hospitalisation,Obstétrique,séjours,269.14,322.97
2013,1,CFX,Causes d'hospitalisation,Obstétrique,séjours,224.28,242.23
2013,2,CFX,Causes d'hospitalisation,Obstétrique,séjours,201.85,201.85
2013,3,CFX,Causes d'hospitalisation,Obstétrique,séjours,179.43,565.19
2013,4,CFX,Causes d'hospitalisation,Obstétrique,séjours,168.21,767.05
2013,5,CFX,Causes d'hospitalisation,Obstétrique,séjours,157.0,363.34
2013,6,CFX,Causes d'hospitalisation,Obstétrique,séjours,157.0,161.48
2013,7,CFX,Causes d'hospitalisation,Obstétrique,séjours,190.64,121.11
2013,8,CFX,Causes d'hospitalisation,Obstétrique,séjours,179.43,121.11
2013,9,CFX,Causes d'hospitalisation,Obstétrique,séjours,168.21,242.23
2013,10,CFX,Causes d'hospitalisation,Obstétrique,séjours,168.21,444.08
2013,11,CFX,Causes d'hospitalisation,Obstétrique,séjours,179.43,484.45
2013,12,CFX,Causes d'hospitalisation,Obstétrique,séjours,269.14,322.97
2014,1,PLF,Causes d'hospitalisation,Obstétrique,séjours,221.17,238.86
2014,2,PLF,Causes d'hospitalisation,Obstétrique,séjours,199.05,199.05
2014,3,PLF,Causes d'hospitalisation,Obstétrique,séjours,176.93,557.34
2014,4,PLF,Causes d'hospitalisation,Obstétrique,séjours,165.88,756.39
2014,5,PLF,Causes d'hospitalisation,Obstétrique,séjours,154.82,358.29
