ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2012,Causes d'hospitalisation,Pathologies cancéreuses,,,46789,séjours
2012,Causes d'hospitalisation,Pathologies neurologiques,,,25843,séjours
2012,Causes d'hospitalisation,Pathologies cardio-vasculaires,,,15275,séjours
2012,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,,,11611,séjours
2012,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,,,11966,séjours
2012,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,,,10064,séjours
2012,Causes d'hospitalisation,Pathologies de l'appareil digestif,,,6286,séjours
2012,Causes d'hospitalisation,Obstétrique,,,4548,séjours
2012,Causes d'hospitalisation,Pathologies infectieuses,,,3545,séjours
2015,Causes d'hospitalisation,Pathologies cancéreuses,,,59017,séjours
2015,Causes d'hospitalisation,Pathologies neurologiques,,,27748,séjours
2015,Causes d'hospitalisation,Pathologies cardio-vasculaires,,,15938,séjours
2015,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,,,12552,séjours
2015,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,,,12154,séjours
2015,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,,,10850,séjours
2015,Causes d'hospitalisation,Pathologies de l'appareil digestif,,,8566,séjours
2015,Causes d'hospitalisation,Obstétrique,,,4361,séjours
2015,Causes d'hospitalisation,Pathologies infectieuses,,,3552,séjours
