ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE,COEF_CRISE,HYPOTHESE_CRISE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE
2011,Causes d'hospitalisation,Obstétrique,2274.0,2274.0,4548.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,4093.2,4093.2,8186.4
2012,Causes d'hospitalisation,Obstétrique,2274.0,2274.0,4548.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,4093.2,4093.2,8186.4
2013,Causes d'hospitalisation,Obstétrique,2242.83,2242.83,4485.67,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,4037.09,4037.09,8074.21
2014,Causes d'hospitalisation,Obstétrique,2211.67,2211.67,4423.33,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3981.01,3981.01,7961.99
2015,Causes d'hospitalisation,Obstétrique,2180.5,2180.5,4361.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3924.9,3924.9,7849.8
2016,Causes d'hospitalisation,Obstétrique,2180.5,2180.5,4361.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3924.9,3924.9,7849.8
2017,Causes d'hospitalisation,Obstétrique,2180.5,2180.5,4361.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3924.9,3924.9,7849.8
2011,Causes d'hospitalisation,Pathologies cancéreuses,23394.5,23394.5,46789.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,42110.1,42110.1,84220.2
2012,Causes d'hospitalisation,Pathologies cancéreuses,23394.5,23394.5,46789.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,42110.1,42110.1,84220.2
2013,Causes d'hospitalisation,Pathologies cancéreuses,25432.5,25432.5,50865.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,45778.5,45778.5,91557.0
2014,Causes d'hospitalisation,Pathologies cancéreuses,27470.5,27470.5,54941.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,49446.9,49446.9,98893.8
2015,Causes d'hospitalisation,Pathologies cancéreuses,29508.5,29508.5,59017.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,53115.3,53115.3,106230.6
2016,Causes d'hospitalisation,Pathologies cancéreuses,29508.5,29508.5,59017.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,53115.3,53115.3,106230.6
2017,Causes d'hospitalisation,Pathologies cancéreuses,29508.5,29508.5,59017.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,53115.3,53115.3,106230.6
2011,Causes d'hospitalisation,Pathologies cardio-vasculaires,7637.5,7637.5,15275.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,13747.5,13747.5,27495.0
2012,Causes d'hospitalisation,Pathologies cardio-vasculaires,7637.5,7637.5,15275.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,13747.5,13747.5,27495.0
2013,Causes d'hospitalisation,Pathologies cardio-vasculaires,7748.0,7748.0,15496.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,13946.4,13946.4,27892.8
2014,Causes d'hospitalisation,Pathologies cardio-vasculaires,7858.5,7858.5,15717.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,14145.3,14145.3,28290.6
2015,Causes d'hospitalisation,Pathologies cardio-vasculaires,7969.0,7969.0,15938.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,14344.2,14344.2,28688.4
2016,Causes d'hospitalisation,Pathologies cardio-vasculaires,7969.0,7969.0,15938.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,14344.2,14344.2,28688.4
2017,Causes d'hospitalisation,Pathologies cardio-vasculaires,7969.0,7969.0,15938.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,14344.2,14344.2,28688.4
2011,Causes d'hospitalisation,Pathologies de l'appareil digestif,3143.0,3143.0,6286.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,5657.4,5657.4,11314.8
2012,Causes d'hospitalisation,Pathologies de l'appareil digestif,3143.0,3143.0,6286.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,5657.4,5657.4,11314.8
2013,Causes d'hospitalisation,Pathologies de l'appareil digestif,3523.0,3523.0,7046.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,6341.4,6341.4,12682.8
2014,Causes d'hospitalisation,Pathologies de l'appareil digestif,3903.0,3903.0,7806.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,7025.4,7025.4,14050.8
2015,Causes d'hospitalisation,Pathologies de l'appareil digestif,4283.0,4283.0,8566.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,7709.4,7709.4,15418.8
2016,Causes d'hospitalisation,Pathologies de l'appareil digestif,4283.0,4283.0,8566.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,7709.4,7709.4,15418.8
2017,Causes d'hospitalisation,Pathologies de l'appareil digestif,4283.0,4283.0,8566.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,7709.4,7709.4,15418.8
2011,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,5983.0,5983.0,11966.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10769.4,10769.4,21538.8
2012,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,5983.0,5983.0,11966.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10769.4,10769.4,21538.8
2013,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,6014.33,6014.33,12028.67,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10825.79,10825.79,21651.61
2014,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,6045.67,6045.67,12091.33,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10882.21,10882.21,21764.39
2015,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,6077.0,6077.0,12154.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10938.6,10938.6,21877.2
2016,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,6077.0,6077.0,12154.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10938.6,10938.6,21877.2
2017,Causes d'hospitalisation,Pathologies de l'appareil génito-urinaire,6077.0,6077.0,12154.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10938.6,10938.6,21877.2
2011,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,5805.5,5805.5,11611.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10449.9,10449.9,20899.8
2012,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,5805.5,5805.5,11611.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10449.9,10449.9,20899.8
2013,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,5962.33,5962.33,11924.67,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,10732.19,10732.19,21464.41
2014,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,6119.17,6119.17,12238.33,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,11014.51,11014.51,22028.99
2015,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,6276.0,6276.0,12552.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,11296.8,11296.8,22593.6
2016,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,6276.0,6276.0,12552.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,11296.8,11296.8,22593.6
2017,Causes d'hospitalisation,Pathologies endocriniennes / métaboliques / nutrition,6276.0,6276.0,12552.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,11296.8,11296.8,22593.6
2011,Causes d'hospitalisation,Pathologies infectieuses,1772.5,1772.5,3545.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3190.5,3190.5,6381.0
2012,Causes d'hospitalisation,Pathologies infectieuses,1772.5,1772.5,3545.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3190.5,3190.5,6381.0
2013,Causes d'hospitalisation,Pathologies infectieuses,1773.67,1773.67,3547.33,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3192.61,3192.61,6385.19
2014,Causes d'hospitalisation,Pathologies infectieuses,1774.83,1774.83,3549.67,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3194.69,3194.69,6389.41
2015,Causes d'hospitalisation,Pathologies infectieuses,1776.0,1776.0,3552.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3196.8,3196.8,6393.6
2016,Causes d'hospitalisation,Pathologies infectieuses,1776.0,1776.0,3552.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3196.8,3196.8,6393.6
2017,Causes d'hospitalisation,Pathologies infectieuses,1776.0,1776.0,3552.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,3196.8,3196.8,6393.6
2011,Causes d'hospitalisation,Pathologies neurologiques,12921.5,12921.5,25843.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,23258.7,23258.7,46517.4
2012,Causes d'hospitalisation,Pathologies neurologiques,12921.5,12921.5,25843.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,23258.7,23258.7,46517.4
2013,Causes d'hospitalisation,Pathologies neurologiques,13239.0,13239.0,26478.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,23830.2,23830.2,47660.4
2014,Causes d'hospitalisation,Pathologies neurologiques,13556.5,13556.5,27113.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,24401.7,24401.7,48803.4
2015,Causes d'hospitalisation,Pathologies neurologiques,13874.0,13874.0,27748.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,24973.2,24973.2,49946.4
2016,Causes d'hospitalisation,Pathologies neurologiques,13874.0,13874.0,27748.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,24973.2,24973.2,49946.4
2017,Causes d'hospitalisation,Pathologies neurologiques,13874.0,13874.0,27748.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,24973.2,24973.2,49946.4
2011,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5032.0,5032.0,10064.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,9057.6,9057.6,18115.2
2012,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5032.0,5032.0,10064.0,séjours,1.8,Hypothèse : +80% de séjours liés aux pathologies en période de crise sanitaire (charge de morbidité accrue).,9057.6,9057.6,18115.2
